ID,PlaceName,StreetAddress,VenueType,Clientele,Notes,YearsOpen,Year,CityTown,State,Latitude,Longitude

1,Café Lafitte in Exile,901 Bourbon St,Bar,Male,Longest continuously runnning gay bar in the United States,1933-Present,1974,New Orleans,LA,29.960372,-90.064201
2,Abbey,1123 Decatur St.,Bar,Mixed,,,1974,New Orleans,LA,29.960371,-90.059663
3,Anita's,514 Ursulines Ave,Bar,Mixed Gender,,,1974,New Orleans,LA,29.960062,-90.060392
4,Annex,740 Burgundy St.,Bar,Mixed Gender,,,1974,New Orleans,LA,29.960546,-90.066685
5,Bank Theatre and Book Store,941 Decatur St,Adult Theatre,Male,,,1974,New Orleans,LA,29.959091,-90.060828
6,Brady's,700 N. Rampart St,Bar,Mixed gender,,,1974,New Orleans, LA,29.960447,-90.06822
7,Burgundy Hose,704 Burgundy St,Bar,Mixed gender,,,1974,New Orleans,LA,29.960288,-90.066919
8,Café du Monde,French Market Decatur at St.Anne,Restaurant,Mixed,Touristy but a ‘must’ for morning coffee & Doughnuts,,1974,New Orleans,LA,29.957561,-90.061854
9,Canal Baths,512 Gravier St,Bathhouse,Male,,,1974,New Orleans,LA,29.950238,-90.06726
10,Cavern's,801 Bourbon St,Bar,N/A,,,1974,New Orleans,LA,29.959599,-90.064914
11,Ched's,4139 St Charles Ave,Restaurant,Mixed,,,1974,New Orleans,LA,29.926883,-90.099564
12,Club New Orleans Baths,515 Toulouse Ave.,Bathhouse,Male,Noted as popular,,1974,New Orleans,LA,29.956253,-90.063877
13,Emy's,918 Royal St.,Restaurant,N/A,,,1974,New Orleans,LA,29.959986,-90.062906
14,Fatted Calf,727 St Peter St,Restaurant,Mixed,,,1974,New Orleans,LA,29.958455,-90.065271
15,Fellini's Madness,728 N.Rampart St,Bar,Male,,,1974,New Orleans,LA,29.96103,-90.067734
16,Finale II,642 N.Rampart St,Bar,Male,,,1974,New Orleans,LA,29.960313,-90.068384
17,Galley House,542 Chartres St,Bar,Male,Under new management,,1974,New Orleans,LA,29.956124,-90.064866
18,Gene's Hide-a-way,608 Iberville,Bar,Male,,,1974,New Orleans,LA,29.953607,-90.067679
19,Gertrude's,125 Chartres St,Bar,Male,,,1974,New Orleans,LA,29.953272,-90.067734
20,Gigi's,740 N. Rampart St,Bar,Male,,,1974,New Orleans,LA,29.961182,-90.067598
21,Marti's,1041 Dumaine St,Restaurant,Mixed,,,1974,New Orleans,LA,29.961981,-90.066478
22,Maxey's Coffee Pot,714 St Peter St.,Restaurant,N/A,,,1974,New Orleans,LA,29.958152,-90.065155
23,Metropolitan Community Church,1375 Magazine St,Church,Mixed Gender,,,1974,New Orleans,LA,29.936586,-90.071948
24,My-O-My Club,940 Conti St,Bar,Mixed,,,1973,New Orleans,LA,29.957212,-90.06928
25,Noble Arms Guest House,1006 Royal St.,Hotel,N/A,,,1974,New Orleans,LA,29.96046,-90.062301
26,Part Two,1041 Royal Street,Restaurant,Mixed,,,1974,New Orleans,LA,29.960826,-90.062306
27,Pete's '800',800 Bourbon St,Bar,Unisex,,,1974,New Orleans,LA,29.959493,-90.064741
28,Post Office,940 St Louis,Bar,Male,,,1974,New Orleans,LA,29.958144,-90.068855
29,Quarter Horse,507 St. Louis St.,Bar,mixed gender,,,1974,New Orleans,LA,29.955299,-90.064333
30,Rod's Burger Shop,514 St Phillip St,Restaurant,Mixed,,,1974,New Orleans,LA,29.959215,-90.06116
31,Sidney's News Stand,917 Decatur,Store,Mixed,,,1974,New Orleans,LA,29.958816,-90.061063
32,Society Page,819 St Louis St.,Bar,Male,'raunchy types,,1974,New Orleans,LA,29.957524,-90.067308
33,Street Car,901 Bourbon St,Restaurant,Male,,,1974,New Orleans,LA,29.960372,-90.064201
34,Super Baths, 700 O'Keefe's,Bathhouse,Male,,,1974,New Orleans,LA,29.947965,-90.074878
35,Touché Lounge,621 St Louis St,Bar,Mixed,Inside Royal Orleans Hotel,,1974,New Orleans,LA,29.956309,-90.065688
36,Travis's,835 N. Rampart St.,Bar,Male,,,1974,New Orleans,LA,29.961586,-90.067253
37,Unisex,520 Bourbon St,Bar,Mixed,'nude go-go boys and girls' touristy,,1974,New Orleans,LA,29.95729,-90.066627
38,Ursulines Guest House,708 Ursulines Ave,Hotel/Motel,N/A,,,1974,New Orleans,LA,29.961348,-90.062225
39,Wanda's,704 Iberville,Bar,Male,'raunchy types',,1974,New Orleans,LA,29.95412,-90.068435


