ID,PlaceName,StreetAddress,VenueType,Clientele,Notes,YearsOpen,Year,CityTown,State,Latitude,Longitude

1,Café Lafitte in Exile,901 Bourbon St,Bar,Male,Longest continuously runnning gay bar in the United States,1933-Present,1976,New Orleans,LA,29.960372,-90.064201
2,Anita's,514 Ursulines Ave,Bar,Mixed Gender,,,1976,New Orleans,LA,29.960062,-90.060392
3,Annex,740 Burgundy St.,Bar,Mixed Gender,,,1976,New Orleans,LA,29.960546,-90.066685
4,Bank Theatre and Book Store,941 Decatur St,Adult Theatre,Male,,,1976,New Orleans,LA,29.959091,-90.060828
5,Bonaparte's Retreat,1007 Decatur,Bar,Mixed,,,1976,New Orleans,LA,29.959336,-90.060602
6,Bourbon Pub,801 Bourbon St,Bar,Male,,,1976,New Orleans,LA,29.959599,-90.064914
7,Brady's,700 N. Rampart St,Bar,Mixed gender,,,1976,New Orleans, LA,29.960447,-90.06822
8,Burgundy House,704 Burgundy St,Bar,Mixed gender,,,1976,New Orleans,LA,29.960288,-90.066919
9,Scottie's Cabaret,728 Rampart St,Bar,Male,'Loft' upstiars,,1976,New Orleans,LA,29.96103,-90.067734
10,Café du Monde,French Market Decatur at St.Anne,Restaurant,Mixed,Touristy but a ‘must’ for morning coffee & Doughnuts,,1976,New Orleans,LA,29.957561,-90.061854
11,Canal Baths,512 Gravier St,Bathhouse,Male,,,1976,New Orleans,LA,29.950238,-90.06726
12,Club Midship,606 Iberville,Bar,Male,,,1976,New Orleans,LA,29.953578,-90.067636
13,Club New Orleans Baths,515 Toulouse Ave.,Bathhouse,Male,Noted as popular,,1976,New Orleans,LA,29.956253,-90.063877
14,De George's Cleaners,826 N. Rampart,Bar,Male,,,1976,New Orleans,LA,29.961532,-90.067303
15,Fatted Calf,727 St Peter St,Restaurant,Mixed,,,1976,New Orleans,LA,29.958455,-90.065271
16,Finale II,642 N.Rampart St,Bar,Male,,,1976,New Orleans,LA,29.960313,-90.068384
17,Flash,507 St. Louis St,Bar,Mixed,,,1976,New Orleans,LA,29.955299,-90.064333
18,Galley House,542 Chartres St,Bar,Male,,,1976,New Orleans,LA,29.956124,-90.064866
19,Golden Lantern,1239 Royal St,Bar,Male,,-Present,1976,New Orleans,LA,29.962737,-90.0606
20,Good Friends,740 Dauphine St,Bar,Mixed,,,1976,New Orleans,LA,29.959945,-90.065748
21,'Grog',718 N.Rampart,Bar,Male,,,1976,New Orleans,LA,29.960733,-90.067993
22,Igor's Lounge and Game Room,2133 St. Charles Ave,Bar,Male,,,1976,New Orleans,LA,29.934565,-90.080534
23,La Boucherie,339 Chartres St,Bar,Mixed,,,1976,New Orleans,LA,29.955058,-90.066142
24,Lafittes Corral,901 Bourbon St,Bar,Male,Above Lafitte's in Exile,,1976,New Orleans,LA,29.960372,-90.064201
25,Loft,728 Rampart St,Bar,Male,western and motorcylce above 'Scottie's Cabaret',,1976,New Orleans,LA,29.96103,-90.067734
26,Marti's,1041 Dumaine St,Restaurant,Mixed,,,1976,New Orleans,LA,29.961981,-90.066478
27,Maxey's Coffee Pot,714 St Peter St.,Restaurant,N/A,,,1976,New Orleans,LA,29.958152,-90.065155
28,Noble Arms Guest House,1006 Royal St.,Hotel,N/A,,,1976,New Orleans,LA,29.96046,-90.062301
29,Parade,801 Bourbon St,Bar,Male,Above Bourbon Pub,,1976,New Orleans,LA,29.959599,-90.064914
30,Perkey's,541 Bourbon St,Restaurant,Mixed,Downtower Motor Inn,,1976,New Orleans,LA,29.95775,-90.066653
31,Pete's '800',800 Bourbon St,Bar,Unisex,,,1976,New Orleans,LA,29.959493,-90.064741
32,Post Office,940 St Louis,Bar,Male,,,1976,New Orleans,LA,29.958144,-90.068855
33,Ramrod Theatre,914 Decatur,Adult Theatre,Male,,,1976,New Orleans,LA,29.958395,-90.061169
34,Sidney's News Stand,917 Decatur,Store,Mixed,,,1976,New Orleans,LA,29.958816,-90.061063
35,Society Page,819 St Louis St.,Bar,Male,'raunchy types',,1976,New Orleans,LA,29.957524,-90.067308
36,Touché Lounge,621 St Louis St,Bar,Mixed,Inside Royal Orleans Hotel,,1976,New Orleans,LA,29.956309,-90.065688
37,Travis's,835 N. Rampart St.,Bar,Male,,,1976,New Orleans,LA,29.961586,-90.067253
38,Travis II,820 N.Rampart St,Bar,Male,,,1976,New Orleans,LA,29.961496,-90.067336
39,Unisex,520 Bourbon St,Bar,Mixed,'nude go-go boys and girls' touristy,,1976,New Orleans,LA,29.95729,-90.066627
40,Ursulines Guest House,708 Ursulines Ave,Hotel/Motel,N/A,,,1976,New Orleans,LA,29.961348,-90.062225
41,Vieux Carre Motor Lodge,920 N.Rampart St,Hotel/Motel,Mixed,,,1976,New Orleans,LA,29.962308,-90.066073
42,Wanda's,704 Iberville,Bar,Male,'raunchy types',,1976,New Orleans,LA,29.95412,-90.068435
43,Y.M.C.A,936 Saint Charles Ave,Hotel/Motel,Mixed,,,1976,New Orleans,LA,29.943705,-90.071974
44,Blueberry Hill,3930 Durham - Chapel Hill Blvd.,Bar,Male,Durham's first explicitly gay gay bar,,1976,Durham,NC,35.970904,-78.956828

