ID,PlaceName,StreetAddress,VenueType,Clientele,Notes,YearsOpen,Year,CityTown,State,Latitude,Longitude

1,Café Lafitte in Exile,901 Bourbon St,Bar,Male,Longest continuously runnning gay bar in the United States,1933-Present,1979,New Orleans,LA,29.960372,-90.064201
2,Al's Backstage,1109 Decatur,Restaurant,Male,,,1979,New Orleans,LA,29.960162,-90.059869
3,Apple Barrel,1940 Dauphine,Restaurant,Mixed,,,1979,New Orleans,LA,29.965361,-90.059095
4,Bourbon Pub,801 Bourbon St,Bar,Male,,,1979,New Orleans,LA,29.959599,-90.064914
5,Bourgoyne Guest House,839 Bourbon St,Hotel,Male,,,1979,New Orleans,LA,29.96019,-90.064359
6,Brady's,700 N. Rampart St,Bar,Mixed gender,,,1979,New Orleans, LA,29.960447,-90.06822
7,Café du Monde,French Market Decatur at St.Anne,Restaurant,Mixed,Touristy but a ‘must’ for morning coffee & Doughnuts,,1979,New Orleans,LA,29.957561,-90.061854
8,Camp Baths,512 Gravier St,Bathhouse,Male,'best to avoid'Damrons address book,,1979,New Orleans,LA,29.950238,-90.06726
9,Camp News,615 Common St,Store,Male,Book store,,1979,New Orleans,LA,29.951948,-90.069033
10,Canal Baths,738 N Rampart St,Bathhouse,Male,,,1979,New Orleans,LA,29.960579,-90.068153
11,Charlene's,940 Elysian Fields,Bar,Lesbian,,,1979,New Orleans,LA,29.967338,-90.05709
12,Chelsey's,727 Bourbon St,Restaurant,Mixed,,,1979,New Orleans,LA,29.959217,-90.065213
13,Club French Quarter Baths,1129-31 Decatur St,Bathhouse,Male,,,1979,New Orleans,LA,29.96048,-90.059587
14,Club Midship,606 Iberville,Bar,Male,,,1979,New Orleans,LA,29.953578,-90.067636
15,Club New Orleans Baths,515 Toulouse Ave.,Bathhouse,Male,Noted as popular,,1979,New Orleans,LA,29.956253,-90.063877
16,Lafittes Corral,901 Bourbon St,Bar,Male,Above Lafitte's in Exile,,1979,New Orleans,LA,29.960372,-90.064201
17,Country Club,634 Louisa St,Bar,Male,Also has restaurant,,1979,New Orleans,LA,29.962935,-90.044028
18,Cuisine Fin Galle,611 Decatur St.,Restaurant,Mixed,,,1979,New Orleans,LA,29.956205,-90.063445
19,Decatur House,1119 Decatur,Restuarant,Mixed,,,1979,New Orleans,LA,29.960426,-90.059912
20,Decatur News,941 Decatur,Store,Male,,,1979,New Orleans,LA,29.959091,-90.060828
21,Dolpen II Book Store,823 Royal St,Store,Male,,,1979,New Orleans,LA,29.959146,-90.063826
22,Fat Sam's,940 Conti,Bar,Male,,,1979,New Orleans,LA,29.957212,-90.06928
23,Fatted Calf,727 St Peter St,Restaurant,Mixed,,,1979,New Orleans,LA,29.958455,-90.065271
24,Finale II,642 N.Rampart St,Bar,Male,,,1979,New Orleans,LA,29.960313,-90.068384
25,Flamingo's Cafe & Bar,1625 St. Charles Ave.,Bar,Male,,,1979,New Orleans,LA,29.938089,-90.076691
26,Galley House,542 Chartres St,Bar,Male,,,1979,New Orleans,LA,29.956124,-90.064866
27,Golden Lantern,1239 Royal St,Bar,Male,,-Present,1979,New Orleans,LA,29.962737,-90.0606
28,Grog Shop,718 N.Rampart,Bar,Mixed Gender,,,1979,New Orleans,LA,29.960733,-90.067993
29,Ichabod's,701 Bourbon St,Bar,Mixed,,,1979,New Orleans,LA,29.958715,-90.065675
30,Janek's,711 Bourbon St,Restaurant,Mixed,,,1979,New Orleans,LA,29.95889,-90.065593
31,Jeffery Scott Cross Guest House,717 Ursulines,Hotel/Motel,Male,,,1979,New Orleans,LA,29.961449,-90.061998
32,Jewel's Tavern,1207 Decatur St.,Bar,Male,'cruisy''active 'john' in the back room',,1979,New Orleans,LA,29.960944,-90.059251
33,Jonathan's,714 N. Rampart St,Restaurant,Mixed,,,1979,New Orleans,LA,29.96068,-90.068049
34,Kajun Kraftsman,820 N Rampart,Store,Male,Leather shop,,1979,New Orleans,LA,29.961496,-90.067336
35,Lafitte Guest House,1003 Bourbon St.,Hotel/Motel,N/A,,,1979,New Orleans,LA,29.961263,-90.063553
36,Lapin Blanc,701 Bourbon St,Restaurant,Male,,,1979,New Orleans,LA,29.958715,-90.065675
37,White Rabbit Disco,701 Bourbon St,Bar,Male,Above Lapin Blanc,,1979,New Orleans,LA,29.958715,-90.065675
38,Le Bistro,800 Bourbon St,Bar,Male,,,1979,New Orleans,LA,29.959493,-90.064741
39,Louisiana Purchase,740 Dauphine,Bar,Male,,,1979,New Orleans,LA,29.959945,-90.065748
40,Maxey's Coffee Pot,714 St Peter St.,Restaurant,N/A,,,1979,New Orleans,LA,29.958152,-90.065155
41,Metropolitan Community Church,1744 N. Rampart St,Church,Mixed Gender,,,1978,New Orleans,LA,29.967164,-90.061899
42,Noble Arms Guest House,1006 Royal St.,Hotel,N/A,,,1979,New Orleans,LA,29.96046,-90.062301
43,Off the Wall,903 St Peter St,Restaurant,Mixed,,,1979,New Orleans,LA,29.959307,-90.066562
44,Patsy's,540 Burgundy,Bar,Mixed,,,1979,New Orleans,LA,29.95889,-90.068161
45,Phil's,616 N Rampart,Restaurant,Mixed,,,1979,New Orleans,LA,29.959938,-90.068665
46,Remember When,916 Royal St,Restaurant,Male,,,1979,New Orleans,LA,29.959858,-90.062799
47,Round Up,819 St Louis St,Bar,Male,‘sterilized society page’,,1979,New Orleans,LA,29.957524,-90.067308
48,Sbisa’s Cafe,1011 Decatur St,Restuarant,Male,,,1979,New Orleans,LA,29.959401,-90.060546
49,Sidney's News Stand,917 Decatur,Store,Mixed,,,1979,New Orleans,LA,29.958816,-90.061063
50,Tigers,740 Burgundy,Bar,Male,,,1979,New Orleans,LA,29.960546,-90.066685
51,Tortilla Flats,95 French Market Pl.,Restaurant,Mixed,,,1979,New Orleans,LA,29.961107,-90.058272
52,Touché Lounge,621 St Louis St,Bar,Mixed,Inside Royal Orleans Hotel,,1979,New Orleans,LA,29.956309,-90.065688
53,Travis's,835 N. Rampart St.,Bar,Male,,,1979,New Orleans,LA,29.961586,-90.067253
54,T.T's West,820 N. Rampart St,Bar,Male,'Wild back room',,1979,New Orleans,LA,29.961496,-90.067336
55,Trocadreo,704 Burgundy,Bar,Male,'Cruisy',,1979,New Orleans,LA,29.960288,-90.066919
56,Ursulines Guest House,708 Ursulines Ave,Hotel/Motel,N/A,,,1979,New Orleans,LA,29.961348,-90.062225
57,Verte Marte,1201 Royal St,Restuarant,Mixed,,,1979,New Orleans,LA,29.962128,-90.061176


